Order_extracted,Study,Type_of_sterilization,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Environment,Age_at_treatment,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes
39,Waters et al 2011,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Rottweilers,Domestic,6.1-8 years,,33,0.267,1,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,14,14,,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data"
40,Waters et al 2011,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Rottweilers,Domestic,2.1-6 years,,33,0.267,0.439,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,14,57,,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data"
41,Waters et al 2011,Ovariectomy,Yes,Intact (no surgery),Female,Canis lupus,Dogs,Rottweilers,Domestic,0.4-2 years,,33,0.267,0.323,NA,,,,Likelyhood of exceptional longevity,Survival to 13,NA,,,,,14,65,,"Look at whether animals were normally lived, or lived over 13 years. Author is providing me with the raw data"
1,Kirkpatrick and Turner 2004,porcine zona pellucida (PZP) immunocontraception,No,Untreated,Female,Equus ferus,Horses,,Wild,2 Years,Less than 3 years,1,6.4,10.2,10.3,0.85,0.56,0.84,Mean,years,S.E.M,,,,,42,11,56,"Sterilization requires booster injections and these did not receive, the longer treatment did"
2,Kirkpatrick and Turner 2004,porcine zona pellucida (PZP) immunocontraception,No,Untreated,Female,Equus ferus,Horses,,Wild,2 Years ,More than 3 years,1,6.4,19.9,10.3,0.85,1.66,0.84,Mean,years,S.E.M,,,,,42,19,56,
15,Dorner and Tabelle 1973,Castration,Yes,Untreated,Male,Rattus norvegicus,Rats,?,Laboratory,Day after birth,,12,570,696,NA,122,132,NA,Mean,days,Standard Deviation,,,,,12,8,NA,
16,Asdell et al 1967,Ovariectomy,Yes,Intact (no surgery),Female,Rattus norvegicus,Rats,Cornell Nutrion colony,Laboratory,45 days old,,13,742,669,615,24,26,21,Mean,days,S.E.M,,,,,50,50,50,Also data for mated females but havent included as would be a different environment (e.g. With males)
17,Asdell et al 1967,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rats,Cornell Nutrion colony,Laboratory,46 days old,,14,615,651,742,21,26,24,Mean,days,S.E.M,,,,,50,50,50,
18,Asdell and Goshi 1975,Ovariectomy,Yes,Intact (no surgery),Female,Rattus norvegicus,Rats,Manor-Wistar,Laboratory,45 days old,,15,654,844,661,24,24,30,Mean,days,S.E.M,,,,,50,50,50,
19,Asdell and Goshi 1975,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rats,Manor-Wistar,Laboratory,46 days old,,16,661,775,654,30,30,24,Mean,days,S.E.M,,,,,50,50,50,
31,Drori and Folman 1976,Castration,Yes,Sham surgery,Male,Rattus norvegicus,Rats,Albino,Laboratory,38-44 days,,27,727,817,849,26,32,26,Mean,Days,S.E.M,,,,,49,49,49,
33,Hamilton et al 1969,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Outbred,Domestic,Under 5 months (before sexual maturity),,29,5.3,12.2,7.7,0.42,1.48,0.52,Mean,Years,S.E.M,,,,,97,13,85,Correlative data is provided in a figure showing exact age at gonadectomy and lifespan for each individual
34,Hamilton et al 1969,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Outbred,Domestic,6 to 7 months,,29,5.3,8.6,7.7,0.42,1.12,0.52,Mean,Years,S.E.M,,,,,97,23,85,
35,Hamilton et al 1969,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Outbred,Domestic,over 8 months,,29,5.3,7.2,7.7,0.42,0.71,0.52,Mean,Years,S.E.M,,,,,97,38,85,
36,Hamilton et al 1969,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Outbred,Domestic,"Various, median 6 months",,30,7.7,8.2,5.3,0.52,0.52,0.42,Mean,Years,S.E.M,,,,,85,75,97,
37,Hamilton et al 1969,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Name breeds,Domestic,"Various, median 6 months",,31,6.2,8.2,4.6,0.84,0.81,0.7,Mean,Years,S.E.M,,,,,36,34,25,
38,Hamilton et al 1969,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Name breeds,Domestic,"Various, median 6 months",,32,4.6,6.9,6.2,0.7,0.59,0.84,Mean,Years,S.E.M,,,,,25,71,36,
42,Holland et al 1997,Ovariectomy,Yes,Intact (no surgery),Female,Mus musculus,Mice,RFM,Laboratory,3-4 weeks,,34,638,628,NA,16,16,NA,Mean,Days,S.E.M,,,,,109,103,NA,Just used data from non-irradiated group. Lots of pathology data
43,Kirkman and Yau ,Castration,Yes,Intact (no surgery),Male,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,Unknown - not given,,35,632,508,543,,,,Mean,Days,,,,,,629,72,578,Do not have error. The proportion of animals dying in 10 brackets of different ages is presented that could be used (Figs 3 and 4)
44,Kirkman and Yau ,Ovariectomy,Yes,Intact (no surgery),Female,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,Unknown - not given,,36,543,391,632,,,,Mean,Days,,,,,,578,31,629,Do not have error. The proportion of animals dying in 10 brackets of different ages is presented that could be used (Figs 3 and 4)
45,Sichuk 1965,Castration,Yes,Sham surgery,Male,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,6 weeks,,37,612,578,589,,,,Mean,Days,,,,,,92,90,94,Error not provided. Mean lifespan comes from the lifespan of both those with thrumobis and those that do not have it. Calculated the mean of these two values weighed against the sample size of each group
46,Sichuk 1965,Ovariectomy,Yes,Sham surgery,Female,Mesocricetus auratus,Hampsters,Syrian Hampsters,Laboratory,6 weeks,,38,589,586,612,,,,Mean,Days,,,,,,94,92,92,Error not provided. Mean lifespan comes from the lifespan of both those with thrumobis and those that do not have it. Calculated the mean of these two values weighed against the sample size of each group
