Order_extracted,Study,Controlled_treatments,Type_of_sterilization,Gonads_removed,Control_treatment,Shamtreatment_moderator,Sex,Species_Latin,Species,Strain,Environment,Wild_or_semi_wild,Age_at_treatment,Maturity_at_treatment,Maturity_at_treatment_ordinal,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Error_control_SD,Error_experimental_SD,Error_opposite_sex_SD,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes,Notes2,Notes3
1,Kirkpatrick and Turner 2004,No,porcine zona pellucida (PZP) immunocontraception,No,untreated,No,Female,Equus ferus,Horses,,Wild,Yes,2 Years,Adult,4,Less than 3 years,1,6.47,10.27,10.3,0.85,0.56,0.84,Mean,years,S.E.M,5.508629594,1.857309883,6.28598441,,,,,42,11,56,"Sterilization requires booster injections and these did not receive, the longer treatment did",,
2,Kirkpatrick and Turner 2004,No,porcine zona pellucida (PZP) immunocontraception,No,untreated,No,Female,Equus ferus,Horses,,Wild,Yes,2 Years ,Adult,4,More than 3 years,1,6.47,19.94,10.3,0.85,1.66,0.84,Mean,years,S.E.M,5.508629594,7.235772246,6.28598441,,,,,42,19,56,,,
3,Jacob et al 2004 A,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,No,Unknown - wild caught (approx 100g),Adult (young),4,,2,0.28,0.67,NA,6,34,NA,Survival rate (%),One breeding season,S.E.M,,,,,,,,18,6,NA,25% population sterilized data from two enclosures pooled,The impact of sterilized females on enclosed populations of ricefield rats,Estimated age at treatment from data on weight at surgery. They were approximately 100g and are never referred to as sexually immature. 1Pregnancy occurs from when the animals are 60-120 g in weight (Sudarmaji 2002).
4,Jacob et al 2004 A,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,No,Unknown - wild caught (approx 100g),Adult (young),4,,3,0.14,0.25,NA,6,8,NA,Survival rate (%),One breeding season,S.E.M,,,,,,,,12,12,NA,50% population sterilzed  data from two enclosures pooled,The impact of sterilized females on enclosed populations of ricefield rats,
5,Jacob et al 2004 A,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Rattus argentiventer,Ricefield rats,,Outdoor enclosure,No,Unknown - wild caught (approx 100g),Adult (young),4,,4,0.22,0.17,NA,6,6,NA,Survival rate (%),One breeding season,S.E.M,,,,,,,,6,18,NA,75% population sterilized  data from two enclosures pooled,The impact of sterilized females on enclosed populations of ricefield rats,
6,Jacob et al 2004 B,Yes,Tubul-ligation,No,Intact (no surgery),No,Female,Rattus argentiventer,Ricefield rats,,Wild,Yes,Unknown - wild caught (approx 100g),Adult (young),4,,10,0.41,0.42,NA,0.11,0.17,NA,Survival rate (%),two months,deviance,,,,,,,,13,24,NA,Radiocollared - Animals spread across 4 plots giving error for survival,,
7,Jacob et al 2004 B,Yes,Progesterone treatment,No,Untreated,No,Female,Rattus argentiventer,Ricefield rats,,Wild,Yes,Unknown - wild caught (approx 100g),Adult (young),4,,10,0.41,0.4,NA,0.11,0,NA,Survival rate (%),two months,deviance,,,,,,,,15,24,NA,Radiocollared -Animals spread across 4 plots giving error for survival. Progesterone treatment wore off and some females got pregnant,,
8,Twigg et al 2000,Yes,Tubul-ligation,No,Sham surgery or no surgery,No,Female,Oryctolagus cuniculus,Rabbit,,Outdoor enclosure,Yes,Unknown - wild caught (see notes for age estimation),Adult,4,,5,0.133,0.418,0.165,NA,NA,NA,Survival rate (%),Four years,NA,,,,,,,,225,165,435,"1993 cohorts. Assuming adults at sterilization because they do not refer to kittens, and because they show the survival of sterile females against intact females and intact adult males. They also show a plot of kitten survival and show that it is very poor",,
9,Twigg et al 2000,Yes,Tubul-ligation,No,Sham surgery or no surgery,No,Female,Oryctolagus cuniculus,Rabbit,,Outdoor enclosure,Yes,Unknown - wild caught - yearling. Puberty or adult?,,,,6,0.239,0.363,0.221,NA,NA,NA,Survival rate (%),Four years,NA,,,,,,,,109,63,267,1994 cohorts,,
10,Twigg et al 2000,Yes,Tubul-ligation,No,Sham surgery or no surgery,No,Female,Oryctolagus cuniculus,Rabbit,,Outdoor enclosure,Yes,Unknown - wild caught - yearly. Puberty or adult? ,,,,7,0.21,0.314,0.209,NA,NA,NA,Survival rate (%),Four years,NA,,,,,,,,252,155,382,1995 cohorts - Also survival data and data split into different densities,,
11,Gipps and Jewel 1979,Yes,Castration ,Yes,Sham surgery,Yes,Male,Myodes glareolus,Bank vole,,Outdoor enclosure,No,Immature,Prepuberty,2,,8,0.782,0.957,NA,NA,NA,NA,Survival rate (%),6 months,NA,,,,,,,,23,23,NA,No reproduction in enclosure so density both treatments exposed to would be the same,,
12,Gipps and Jewel 1979,Yes,Castration ,Yes,Sham surgery,Yes,Male,Myodes glareolus,Bank vole,,Outdoor enclosure,No,Immature,Prepuberty,2,,9,0.759,1,0.7,NA,NA,NA,Survival rate (%),11 months,NA,,,,,,,,29,18,40,Some intacts were in a control enclosure without castrates. In the enclosure with castrates the density in the enclosure increased slightly quicker,,
13,Zakeri et al 2019,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mouse,NMRI,Laboratory,No,10 months,Adult (old),4,,11,0.36,0.5,NA,NA,NA,NA,Survival rate (%),11.5 months,NA,,,,,,,,16,16,NA,Its the sterilization treatment that is compared to two different types of control in this study,,
14,Zakeri et al 2019,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Mus musculus,Mouse,NMRI,Laboratory,No,10 months,Adult (old),4,,11,0.33,0.5,NA,NA,NA,NA,Survival rate (%),11.5 months,NA,,,,,,,,16,16,NA,Its the sterilization treatment that is compared to two different types of control in this study,,
15,Dorner 1973,Yes,Castration,Yes,Untreated,No,Male,Rattus norvegicus,Rat,Sprague-Dawley-Stammes,Laboratory,No,Day after birth,Birth,1,,12,570,696,NA,122,132,NA,Mean,days,Standard Deviation,122,132,NA,,,,,12,8,NA,,,
16,Asdell et al 1967,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Rattus norvegicus,Rat,Cornell Nutrion colony,Laboratory,No,Between 38-42 days,Puberty,3,,13,742,669,615,24,26,21,Mean,days,S.E.M,169.7056275,183.8477631,148.492424,,,,,50,50,50,Also data for mated females but havent included as would be a different environment (e.g. With males),,
17,Asdell et al 1967,Yes,Castration,Yes,Intact (no surgery),No,Male,Rattus norvegicus,Rat,Cornell Nutrion colony,Laboratory,No,Between 39-42 days,Puberty,3,,14,615,651,742,21,26,24,Mean,days,S.E.M,148.492424,183.8477631,169.7056275,,,,,50,50,50,,,
18,Asdell and Joshi 1976,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Rattus norvegicus,Rat,Manor-Wistar,Laboratory,No,45 days old,Puberty,3,,15,654,844,661,24,24,30,Mean,days,S.E.M,169.7056275,169.7056275,212.1320344,,,,,50,50,50,,,
19,Asdell and Joshi 1976,Yes,Castration,Yes,Intact (no surgery),No,Male,Rattus norvegicus,Rat,Manor-Wistar,Laboratory,No,45 days old,Puberty,3,,16,661,775,654,30,30,24,Mean,days,S.E.M,212.1320344,212.1320344,169.7056275,,,,,50,50,50,,,
20,Arriola Apelo et al 2020,Yes,Castration ,Yes,Sham surgery,Yes,Male,Mus musculus,Mice,C57BL6,Laboratory,No,21 days,Prepuberty,2,,17,1006,978,853,34.3,37.45,26.25,Median,days,S.E.M,145.5225756,183.4667817,136.3990011,,,,,18,24,27,,,
21,Arriola Apelo et al 2020,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Mus musculus,Mice,C57BL6,Laboratory,No,21 days,Prepuberty,2,,18,853,916,1006,26.25,49.36,34.3,Median,days,S.E.M,136.3990011,231.5189219,145.5225756,,,,,27,22,18,,,
22,Benedusi et al 2015,Yes,Castration,Yes,Sham surgery,Yes,Male,Mus musculus,Mice,C57BL76 (ERE-LucRepTOP™),Laboratory,No,5 Months,Adult (old),4,,19,0.1,0.35,NA,NA,NA,NA,Survival rate (%),15 Months,NA,,,,,,,,20,20,NA,,,
23,Benedusi et al 2015,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Mus musculus,Mice,C57BL76 (PPRE-lucRepTOP™),Laboratory,No,5 Months,Adult (old),4,,20,,,,,,,Survival rate (%),20 Months,NA,,,,,,,,,,NA,Have emailed author for data.Females were removed at different points and so not possible to work out exactly what animals should be included.,,
24,Cargil et al 2003,Yes,Ovariectomy,Yes,Intact (no surgery),No,Female,Mus musculus,Mice,CBA,Laboratory,No,21 days,Prepuberty,2,,21,599.29,578.64,NA,30.45,35.6,NA,Median,Days,S.E.M,158.2228413,178,NA,,,,,27,25,NA,Extracted median lifespan from data in figure and calculated SD,,
25,Cox et al 2014,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Wild,Yes,"Unknown - wild caught - assuming adult because caught at the same time of year as other studies, but work ""adult"" not specifically mentioned.",Adult,4,,22,0.26,0.33,NA,NA,NA,NA,Survival rate (%),One breeding season (May-Sept),NA,,,,,,,,168,170,NA,"Raw data from Dyrad. My survival estimates from survival dont equal those extracted from the model, that probably includes covariates",,
26,Cox et al 2014,Yes,Ovariectomy,Yes,Sham surgery,Yes,Female,Anolis sagrei,Anole lizards,,Wild,Yes,Unknown - wild caught,Adult,4,,22,0.3,0.2,NA,NA,NA,NA,Survival rate (%),Winter (Sept-May),NA,,,,,,,,20,20,NA,Remaining animals from first mortality assessment and only controls where fat was not removed. My survival estimates from those alive after monitored period,,
