Order_extracted,Study,Controlled_treatments,Type_of_sterilization,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Environment,Wild_or_semi_wild,Age_at_treatment,Maturity_at_treatment,Maturity_at_treatment_ordinal,Duration_of_treatment,Shared_control,Control_lifespan_variable,Treatment_lifespan_variable,Opposite_sex_lifespan_variable,Error_control,Error_experimental,Error_opposite_sex,Lifespan_parameter,Lifespan_unit,Error_unit,Error_control_SD,Error_experimental_SD,Error_opposite_sex_SD,Coefficent_difference_to_control,Lower_interval,Upper_interval,Coefficent_unit,Sample_size_control,Sample_size_sterilization,Sample_size_opposite_sex,Notes
20,Arriola Apelo et al 2020,Yes,Castration ,Yes,Sham surgery,Male,Mus musculus,Mice,C57BL6,Laboratory,No,21 days,Prepuberty,2,,17,1006,978,853,34.3,37.45,26.25,Median,days,S.E.M,145.5225756,183.4667817,136.3990011,,,,,18,24,27,
21,Arriola Apelo et al 2020,Yes,Ovariectomy,Yes,Sham surgery,Female,Mus musculus,Mice,C57BL6,Laboratory,No,21 days,Prepuberty,2,,18,853,916,1006,26.25,49.36,34.3,Median,days,S.E.M,136.3990011,231.5189219,145.5225756,,,,,27,22,18,
18,Asdell and Joshi 1976,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Rattus norvegicus,Rat,Manor-Wistar,Laboratory,No,45 days old,Puberty,3,,15,654,844,661,24,24,30,Mean,days,S.E.M,169.7056275,169.7056275,212.1320344,,,,,50,50,50,
19,Asdell and Joshi 1976,Yes,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rat,Manor-Wistar,Laboratory,No,45 days old,Puberty,3,,16,661,775,654,30,30,24,Mean,days,S.E.M,212.1320344,212.1320344,169.7056275,,,,,50,50,50,
16,Asdell et al 1967,Yes,Ovariectomy,Yes,Intact (no surgery),Female,Rattus norvegicus,Rat,Cornell Nutrion colony,Laboratory,No,Between 38-42 days,Puberty,3,,13,742,669,615,24,26,21,Mean,days,S.E.M,169.7056275,183.8477631,148.492424,,,,,50,50,50,Also data for mated females but havent included as would be a different environment (e.g. With males)
17,Asdell et al 1967,Yes,Castration,Yes,Intact (no surgery),Male,Rattus norvegicus,Rat,Cornell Nutrion colony,Laboratory,No,Between 39-42 days,Puberty,3,,14,615,651,742,21,26,24,Mean,days,S.E.M,148.492424,183.8477631,169.7056275,,,,,50,50,50,
22,Benedusi et al 2015,Yes,Castration,Yes,Sham surgery,Male,Mus musculus,Mice,C57BL76 (ERE-LucRepTOP™),Laboratory,No,5 Months,Adult (old),4,,19,0.1,0.35,NA,NA,NA,NA,Survival rate (%),15 Months,NA,,,,,,,,20,20,NA,
23,Benedusi et al 2015,Yes,Ovariectomy,Yes,Sham surgery,Female,Mus musculus,Mice,C57BL76 (PPRE-lucRepTOP™),Laboratory,No,5 Months,Adult (old),4,,20,,,,,,,Survival rate (%),20 Months,NA,,,,,,,,,,NA,Have emailed author for data.Females were removed at different points and so not possible to work out exactly what animals should be included.
115,Bronson 1981,No,Castration,Yes,Intact (no surgery),Male,Felis catus,Cats,Various breeds,Domestic,No,After 6 months (they state few were done before neutered before 6 months or so),Puberty or adult,,,92,4.97,7.34,6.65,3.66,4.29,5.66,Mean,Years - for cats surviving to two years old,Standard deviation,3.66,4.29,5.66,,,,,219,265,99,Lifespan of individuals calculated from histograms. Used data from animals that survived after the first year. 
116,Bronson 1981,No,Ovariectomy,Yes,Intact (no surgery),Female,Felis catus,Cats,Various breeds,Domestic,No,After 6 months (they state few were done before neutered before 6 months or so),Puberty or adult,,,93,6.65,9.11,4.97,5.66,5.13,3.66,Mean,Years - for cats surviving to two years old,Standard deviation,5.66,5.13,3.66,,,,,99,220,219,Lifespan of individuals calculated from histograms. Used data from animals that survived after the first year. 
