species,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper
Acinonyx jubatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12706889,0.214566273,-0.563611538,0.267578677,NA,NA,NA,NA
Addax nasomaculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264129543,-0.565083509,0.17998665,-0.229739776,0.1493172,0.01547508,0.19774352,0.551747473
Aepyceros melampus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.379759266,0.11912636,-0.620981299,-0.160021754,NA,NA,NA,NA
Ailurus fulgens,0.319175712,0.177214697,-0.037549948,0.665767041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alouatta caraya,-0.972740648,-1.562368022,-0.895619885,-1.399099566,NA,NA,NA,NA,NA,NA,NA,NA,0.292734833,-0.431459981,0.252107691,-0.40983441,NA,NA,NA,NA,NA,NA,NA,NA,-0.072413274,0.306007737,-0.699970462,0.486941484,NA,NA,NA,NA
Ammotragus lervia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.055561775,0.116730151,-0.295658691,0.161599988,NA,NA,NA,NA
Antidorcas marsupialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107470229,0.159687587,-0.217567375,0.409785196,NA,NA,NA,NA
Antilope cervicapra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.549955478,0.080682375,-0.709716239,-0.394553382,NA,NA,NA,NA
Aonyx cinereus,-0.330900067,-0.694442702,0.465905174,0.037044094,NA,NA,NA,NA,NA,NA,NA,NA,0.177030947,-0.001544597,0.205481958,0.855998405,-0.242595999,-0.875463196,-0.056234363,-0.344682992,NA,NA,NA,NA,0.307512363,0.320208527,0.145091797,0.218942229,NA,NA,NA,NA
Arctictis binturong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.097472496,0.303470508,-0.721143547,0.470158507,NA,NA,NA,NA
Artibeus jamaicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.563368414,0.15033911,-0.870244946,-0.274870938,NA,NA,NA,NA
Ateles fusciceps,-0.408953573,0.480119348,-1.42361535,0.441875617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,-0.162997655,0.393421589,-0.993991882,0.553655129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.098009346,0.238897723,-0.397974684,0.554878951,NA,NA,NA,NA
Axis axis,0.133538213,0.178105724,-0.236693075,0.472397653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438361554,0.142853581,0.149141733,0.703552484,NA,NA,NA,NA
Bison bison,NA,NA,NA,NA,-0.480912587,0.372511279,-1.295464224,0.189493616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.079506712,0.146380339,-0.376247865,0.199619507,NA,NA,NA,NA
Bos grunniens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.167929668,0.277406364,-0.740407589,0.358386729,NA,NA,NA,NA
Bos javanicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.355103191,0.316507459,-0.296740425,0.936035134,NA,NA,NA,NA
Bos taurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.463131206,-0.726272395,-0.387028121,-0.931289455,0.130870059,-0.202651153,0.25953108,0.088114395
Boselaphus tragocamelus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08354828,0.170802504,-0.252184795,0.39847084,NA,NA,NA,NA
Bubalus bubalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.051187234,0.328717994,-1.711492483,-0.44407211,NA,NA,NA,NA
Callimico goeldii,0.110521359,0.215002145,-0.331714866,0.512278397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix geoffroyi,0.088751814,0.154056272,-0.215474465,0.389677422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,-0.053763747,0.134820998,-0.32456208,0.197400118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.426677881,0.155200394,-0.74547297,-0.126782827,NA,NA,NA,NA
Camelus bactrianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267818631,0.175435758,-0.082172206,0.604847841,NA,NA,NA,NA
Camelus dromedarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048045847,0.243338748,-0.532696127,0.413985236,NA,NA,NA,NA
Canis latrans,NA,NA,NA,NA,NA,NA,NA,NA,-0.596739923,0.28588834,-1.176086895,-0.073619069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.625630027,0.195408991,-1.035137818,-0.256375583,NA,NA,NA,NA
Canis lupus,0.540430374,0.835837763,-0.332861528,0.180691966,NA,NA,NA,NA,0.157013829,-0.163041484,0.00308402,-0.537690321,0.225404434,0.087258721,-0.165742656,0.177068791,NA,NA,NA,NA,NA,NA,NA,NA,0.036593681,-0.107920854,-0.065319976,-0.457537182,0.07379963,0.180415158,0.196645612,0.29912726
Capra aegagrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.451701934,0.351812197,-1.175049633,0.201411065,NA,NA,NA,NA
Capra falconeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.096943816,0.236622895,-0.593939311,0.346543534,NA,NA,NA,NA
Capra hircus,0.195286461,0.262597971,-0.357181866,0.676397017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.039336241,-0.126867415,-0.055121499,-0.261755512,0.045131114,0.048805008,0.103743349,0.144916
Capra nubiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.309206559,0.208874904,-0.742013782,0.074982143,NA,NA,NA,NA
Carollia perspicillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.975368728,0.212115851,-1.415610885,-0.589220594,NA,NA,NA,NA
Cavia porcellus,NA,NA,NA,NA,NA,NA,NA,NA,0.403526277,0.183211542,0.027949666,0.754947041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15114793,0.112595051,-0.375921678,0.066471142,NA,NA,NA,NA
Cebuella pygmaea,-0.268300489,0.252858873,-0.793605158,0.194672404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cebus capucinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.544786627,0.642127151,-2.979515444,-0.415941991,NA,NA,NA,NA
Cercopithecus neglectus,-0.39949683,0.437149816,-1.353117927,0.387368113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cervus canadensis,-0.018089786,0.222186763,-0.469236922,0.395914241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67675897,0.250219201,-1.189147732,-0.22645109,NA,NA,NA,NA
Cervus elaphus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158998038,0.163908145,-0.169379757,0.46697986,NA,NA,NA,NA
Cervus nippon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264560466,0.154763699,-0.044713839,0.566449479,NA,NA,NA,NA
Chinchilla lanigera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.133102903,0.193712402,-0.543172784,0.23656311,NA,NA,NA,NA
Chlorocebus aethiops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.323318963,0.428863781,-1.238519871,0.440934298,NA,NA,NA,NA
Chrysocyon brachyurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
