"species","Female.None","Female.Hormonal","Female.Immunological","Female.Surgical","Female.Undetermined","Male.None","Male.Hormonal","Male.Immunological","Male.Surgical","Male.Undetermined"
"Acinonyx jubatus",0,0,0,0,0,2948,8,0,38,2
"Addax nasomaculatus",0,0,0,0,0,2856,1,2,93,34
"Aepyceros melampus",0,0,0,0,0,2330,4,2,157,19
"Ailurus fulgens",1475,66,0,8,10,0,0,0,0,0
"Alouatta caraya",292,62,0,12,44,398,8,0,33,5
"Ammotragus lervia",0,0,0,0,0,4879,0,0,162,26
"Antidorcas marsupialis",0,0,0,0,0,1850,5,0,48,22
"Antilope cervicapra",0,0,0,0,0,6621,0,2,347,10
"Aonyx cinereus",2205,95,0,18,30,2260,42,0,96,19
"Arctictis binturong",0,0,0,0,0,636,2,0,30,5
"Artibeus jamaicensis",0,0,0,0,0,670,0,0,64,18
"Ateles fusciceps",438,32,0,16,13,0,0,0,0,0
"Ateles geoffroyi",679,32,0,22,21,580,4,2,51,23
"Axis axis",4437,42,0,1,0,3737,0,0,87,11
"Bison bison",4235,8,33,2,12,3703,0,0,104,18
"Bos grunniens",0,0,0,0,0,1374,0,0,37,5
"Bos javanicus",0,0,0,0,0,998,2,2,32,3
"Bos taurus",0,0,0,0,0,4303,0,0,271,49
"Boselaphus tragocamelus",0,0,0,0,0,2180,1,2,57,18
"Bubalus bubalis",0,0,0,0,0,622,1,0,36,6
"Callimico goeldii",1072,42,0,19,17,0,0,0,0,0
"Callithrix geoffroyi",1043,65,0,4,17,0,0,0,0,0
"Callithrix jacchus",3206,147,0,21,8,3868,12,0,115,6
"Camelus bactrianus",0,0,0,0,0,2081,5,1,94,17
"Camelus dromedarius",0,0,0,0,0,1182,0,0,109,10
"Canis latrans",485,4,0,39,7,529,0,0,64,10
"Canis lupus",5012,130,0,331,59,5457,28,0,439,58
"Capra aegagrus",0,0,0,0,0,1107,0,0,42,0
"Capra falconeri",0,0,0,0,0,1948,11,0,43,2
"Capra hircus",24855,44,8,25,10,17776,0,22,2384,375
"Capra nubiana",0,0,0,0,0,2435,0,0,49,2
"Carollia perspicillata",0,0,0,0,0,843,0,0,155,4
"Cavia porcellus",3807,2,0,40,0,2057,0,0,151,10
"Cebuella pygmaea",2304,34,0,5,22,0,0,0,0,0
"Cebus capucinus",0,0,0,0,0,309,1,0,45,4
"Cercopithecus neglectus",483,32,0,6,19,0,0,0,0,0
"Cervus canadensis",2370,30,19,2,6,2111,1,0,40,12
"Cervus elaphus",0,0,0,0,0,1825,0,0,55,2
"Cervus nippon",0,0,0,0,0,2975,4,0,70,14
"Chinchilla lanigera",0,0,0,0,0,1440,0,0,47,3
"Chlorocebus aethiops",0,0,0,0,0,685,1,0,30,3
"Chrysocyon brachyurus",0,0,0,0,0,0,0,0,0,0
"Colobus angolensis",189,34,0,7,3,0,0,0,0,0
"Colobus guereza",1174,122,0,24,60,1352,4,0,57,15
"Connochaetes taurinus",0,0,0,0,0,1469,1,1,114,33
"Crocuta crocuta",0,0,0,0,0,0,0,0,0,0
"Cynomys ludovicianus",2858,7,0,65,6,2465,9,0,154,16
"Dama dama",0,0,0,0,0,4616,0,0,173,30
"Damaliscus pygargus",0,0,0,0,0,1187,1,1,38,15
"Desmodus rotundus",0,0,0,0,0,933,0,0,66,1
"Didelphis virginiana",0,0,0,0,0,1610,0,0,79,7
"Dolichotis patagonum",0,0,0,0,0,4227,5,0,124,20
"Eidolon helvum",648,2,0,96,3,620,0,0,164,15
"Equus asinus",0,0,0,0,0,2097,1,2,346,24
"Equus caballus",0,0,0,0,0,4254,1,8,1107,155
"Equus hemionus",0,0,0,0,0,552,0,4,32,5
"Equus quagga",0,0,0,0,0,3752,5,11,164,29
"Erythrocebus patas",851,45,0,8,20,677,3,0,45,4
"Eudorcas thomsonii",0,0,0,0,0,1573,0,0,86,6
"Eulemur coronatus",117,38,0,0,1,0,0,0,0,0
"Eulemur macaco",345,36,0,10,13,0,0,0,0,0
"Eulemur rubriventer",125,31,0,1,6,0,0,0,0,0
"Felis catus",1054,0,1,126,27,836,0,1,125,38
"Giraffa camelopardalis",3225,141,105,0,54,3368,23,31,160,10
"Gorilla gorilla",350,188,0,3,86,0,0,0,0,0
"Hemitragus jemlahicus",0,0,0,0,0,1109,0,0,46,7
"Hippopotamus amphibius",651,33,1,0,6,0,0,0,0,0
"Hippotragus niger",0,0,0,0,0,2053,1,5,30,8
"Hydrochoerus hydrochaeris",3831,33,0,4,7,3456,13,0,134,25
"Hylobates lar",718,58,2,15,13,0,0,0,0,0
"Hystrix indica",0,0,0,0,0,863,3,0,39,9
"Kobus ellipsiprymnus",0,0,0,0,0,2202,0,2,141,5
"Kobus leche",0,0,0,0,0,2201,0,0,82,29
"Kobus megaceros",0,0,0,0,0,1139,6,0,65,12
"Lama glama",0,0,0,0,0,4493,0,0,217,35
"Lama guanicoe",0,0,0,0,0,1484,0,0,71,12
"Lemur catta",5335,383,1,48,79,6379,46,0,404,30
"Leontopithecus chrysomelas",703,73,0,16,41,0,0,0,0,0
"Leontopithecus rosalia",914,130,0,17,77,0,0,0,0,0
"Leptailurus serval",1399,25,0,44,15,1441,5,0,71,6
"Lycaon pictus",1474,84,1,94,82,1774,73,0,46,54
"Lynx lynx",1415,38,1,12,16,1349,17,1,61,14
"Lynx rufus",828,3,0,54,6,784,1,0,94,10
"Macaca fascicularis",1408,72,0,88,7,1008,2,0,93,4
"Macaca fuscata",1325,125,7,76,57,1315,6,0,142,31
"Macaca leonina",0,0,0,0,0,66,0,0,41,0
"Macaca mulatta",1054,17,0,52,4,766,1,0,110,8
"Macaca nemestrina",0,0,0,0,0,404,3,0,30,7
"Macaca nigra",429,55,1,6,24,482,18,0,68,1
"Macaca silenus",578,62,0,19,21,564,28,0,50,11
"Macaca sylvanus",855,213,0,17,24,781,20,1,240,10
"Macaca tonkeana",93,37,0,5,0,88,0,0,33,1
"Macropus eugenii",0,0,0,0,0,1007,0,0,36,1
"Macropus fuliginosus",0,0,0,0,0,887,0,0,79,10
"Macropus giganteus",0,0,0,0,0,1993,0,0,147,5
"Macropus parma",0,0,0,0,0,1442,0,0,40,17
"Macropus robustus",0,0,0,0,0,560,0,0,33,16
"Macropus rufogriseus",0,0,0,0,0,6934,0,0,586,65
"Macropus rufus",4520,39,0,4,21,3879,2,1,242,27
"Mephitis mephitis",1015,7,0,41,5,996,4,0,128,12
"Mungos mungo",0,0,0,0,0,1415,9,0,46,19
"Muntiacus reevesi",2343,33,1,11,11,2288,13,0,83,24
"Mustela nigripes",2502,0,0,56,10,2560,0,0,79,9
"Mustela putorius",1824,35,0,229,38,2014,11,0,383,36
"Myocastor coypus",0,0,0,0,0,710,0,0,41,2
"Nasua narica",0,0,0,0,0,378,0,0,57,17
"Nasua nasua",2776,37,0,40,35,2229,12,0,239,35
"Neofelis nebulosa",0,0,0,0,0,0,0,0,0,0
"Nyctereutes procyonoides",0,0,0,0,0,519,1,4,35,2
"Octodon degus",807,85,0,2,0,670,0,0,187,6
"Odocoileus virginianus",0,0,0,0,0,2429,0,0,115,5
"Oryctolagus cuniculus",4061,1,0,481,37,2762,3,0,831,58
"Oryx dammah",0,0,0,0,0,3999,6,4,168,21
"Oryx gazella",0,0,0,0,0,1517,0,1,34,3
"Ovis aries",0,0,0,0,0,13677,1,8,708,129
"Ovis canadensis",0,0,0,0,0,873,0,0,32,0
"Pan paniscus",121,30,0,0,13,0,0,0,0,0
"Pan troglodytes",1485,344,0,28,151,1485,8,0,245,30
"Panthera leo",4402,393,11,202,206,4598,16,0,223,35
"Panthera onca",865,34,0,22,15,0,0,0,0,0
"Panthera pardus",1890,39,1,36,34,1977,8,0,31,8
"Panthera tigris",4387,139,3,96,98,4175,26,1,126,49
"Panthera uncia",1022,21,1,20,42,0,0,0,0,0
"Papio anubis",0,0,0,0,0,248,0,0,53,0
"Papio hamadryas",2204,297,0,172,87,2324,7,0,244,70
"Papio papio",445,39,0,20,5,479,21,0,39,1
"Pecari tajacu",0,0,0,0,0,1601,0,0,94,8
"Petaurus breviceps",0,0,0,0,0,1582,0,0,108,2
"Petrogale xanthopus",984,37,5,0,2,1022,6,0,42,1
"Phacochoerus africanus",630,42,13,8,8,687,6,1,31,5
"Phascolarctos cinereus",0,0,0,0,0,2317,0,0,38,29
"Pithecia pithecia",578,76,0,5,38,750,17,0,50,0
"Pongo abelii",370,59,0,5,16,0,0,0,0,0
"Pongo pygmaeus",472,113,0,6,31,0,0,0,0,0
"Potamochoerus porcus",824,45,1,3,7,759,9,9,48,2
"Potos flavus",0,0,0,0,0,458,1,0,31,2
"Procavia capensis",0,0,0,0,0,1457,74,1,43,2
"Procyon lotor",2351,14,0,289,25,2259,9,1,478,52
"Propithecus coquereli",42,41,0,0,0,0,0,0,0,0
"Pseudocheirus peregrinus",0,0,0,0,0,1317,0,0,33,1
"Pteropus rodricensis",1226,113,0,26,14,0,0,0,0,0
"Puma concolor",1265,11,0,82,28,1163,0,0,94,17
"Rangifer tarandus",0,0,0,0,0,3302,9,0,87,15
"Rattus norvegicus",2473,5,0,134,0,1435,0,0,158,2
