species,Female_None_Mean,Female_None_SE,Female_None_Lower,Female_None_Upper,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_None_Mean,Male_None_SE,Male_None_Lower,Male_None_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper,Female.None,Female.Hormonal,Female.Immunological,Female.Surgical,Female.Undetermined,Male.None,Male.Hormonal,Male.Immunological,Male.Surgical,Male.Undetermined
Acinonyx jubatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.423471153,0.115983841,9.198061677,9.659177194,NA,NA,NA,NA,NA,NA,NA,NA,9.958962263,0.884157848,8.353507488,11.82445464,NA,NA,NA,NA,0,0,0,0,0,2948,8,0,38,2
Addax nasomaculatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.744354526,0.235922678,7.292198034,8.220460594,NA,NA,NA,NA,NA,NA,NA,NA,9.173213304,0.791120834,7.706748372,10.84036125,6.876266497,0.929532883,5.221333154,8.887214899,0,0,0,0,0,2856,1,2,93,34
Aepyceros melampus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.211592158,0.229535491,4.783943347,5.683584747,NA,NA,NA,NA,NA,NA,NA,NA,7.670567289,0.869373064,6.167838794,9.609298826,NA,NA,NA,NA,0,0,0,0,0,2330,4,2,157,19
Ailurus fulgens,9.664570462,0.193535957,9.286016455,10.04231331,8.195794905,0.773658555,6.755275745,9.786900421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1475,66,0,8,10,0,0,0,0,0
Alouatta caraya,12.15399032,0.722169208,10.80215139,13.67387303,18.96611897,1.927400285,15.5002323,22.91288582,NA,NA,NA,NA,NA,NA,NA,NA,18.39987351,1.581456332,15.4340186,21.7438456,13.44233975,0.627450716,12.27477483,14.69576019,NA,NA,NA,NA,NA,NA,NA,NA,13.98443288,2.084838122,10.3490251,18.36002626,NA,NA,NA,NA,292,62,0,12,44,398,8,0,33,5
Ammotragus lervia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.824277624,0.183544134,9.472485699,10.20511026,NA,NA,NA,NA,NA,NA,NA,NA,10.19227288,0.732260376,8.875300869,11.71694576,NA,NA,NA,NA,0,0,0,0,0,4879,0,0,162,26
Antidorcas marsupialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.448422291,0.189554624,4.100629407,4.84123024,NA,NA,NA,NA,NA,NA,NA,NA,4.036424524,0.636908803,2.966593646,5.45509727,NA,NA,NA,NA,0,0,0,0,0,1850,5,0,48,22
Antilope cervicapra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.594528965,0.132619696,5.348837005,5.861188561,NA,NA,NA,NA,NA,NA,NA,NA,9.469797851,0.718674724,8.179770839,10.98719986,NA,NA,NA,NA,0,0,0,0,0,6621,0,2,347,10
Aonyx cinereus,9.358051461,0.184289286,8.992484514,9.720787154,11.16420097,0.977820584,9.416788937,13.22850791,NA,NA,NA,NA,NA,NA,NA,NA,7.138798283,0.917869782,5.495409267,9.1173185,10.79898786,0.226244935,10.37110474,11.24812874,12.38744388,1.981604831,8.958615193,16.70300342,NA,NA,NA,NA,11.15578491,0.857700024,9.592555988,12.92420687,NA,NA,NA,NA,2205,95,0,18,30,2260,42,0,96,19
Arctictis binturong,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.01648411,0.478776362,14.10896587,15.96933315,NA,NA,NA,NA,NA,NA,NA,NA,15.66026368,1.868058855,12.28484348,19.61005579,NA,NA,NA,NA,0,0,0,0,0,636,2,0,30,5
Artibeus jamaicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.408879472,0.326143083,4.810495922,6.065238677,NA,NA,NA,NA,NA,NA,NA,NA,9.539290996,1.33634494,7.322062083,12.5811033,NA,NA,NA,NA,0,0,0,0,0,670,0,0,64,18
Ateles fusciceps,26.27223367,3.043043323,22.29001702,34.68110222,33.64229733,11.57069704,19.70898215,60.73803302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438,32,0,16,13,0,0,0,0,0
Ateles geoffroyi,23.00628164,0.790899224,21.53101346,24.62617688,24.66280156,4.024269472,17.29629118,33.21428876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.03644999,1.343409545,22.55961379,27.88521346,NA,NA,NA,NA,NA,NA,NA,NA,23.79343537,2.63144034,18.89792916,29.25590101,NA,NA,NA,NA,679,32,0,22,21,580,4,2,51,23
Axis axis,12.28533913,0.317981976,11.71175969,12.93446048,11.21184138,1.450259585,8.678963158,14.35552251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.67419094,3.727452757,11.58416555,25.94609102,NA,NA,NA,NA,NA,NA,NA,NA,8.848540914,2.103531656,6.102397796,14.29489528,NA,NA,NA,NA,4437,42,0,1,0,3737,0,0,87,11
Bison bison,15.48248973,0.244495167,15.00856179,15.976256,NA,NA,NA,NA,19.01754694,2.761565308,14.19967334,25.09108791,NA,NA,NA,NA,NA,NA,NA,NA,12.3029348,0.335136042,11.67605234,12.99041047,NA,NA,NA,NA,NA,NA,NA,NA,12.88850719,0.999862156,11.03572719,15.02200944,NA,NA,NA,NA,4235,8,33,2,12,3703,0,0,104,18
Bos grunniens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.58161465,0.458961957,9.732941622,11.53244517,NA,NA,NA,NA,NA,NA,NA,NA,11.79863422,1.911922362,8.470441578,15.99878454,NA,NA,NA,NA,0,0,0,0,0,1374,0,0,37,5
